benchmark,task_id,sample_id,model,prompt_profile,temperature,top_p,max_tokens,endpoint_status,request_outcome,request_attempt_count,latency_seconds,response_choice_count,response_content_present,response_character_count,finish_reason,prompt_tokens,completion_tokens,total_tokens,http_status_class,response_parse_status,generation_status,extraction_status,candidate_file_available,compile_pass,correctness_pass,synth_pass,timing_status,area_metric_available,activity_metric_available,reference_area,generated_area,area_unit,reference_activity,generated_activity,activity_metric,area_score,activity_score,score,score_status,failure_category,toolchain_id,workload_id,notes
rfid_apbench,ap_001_idle_counter,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,5.576544999999896,1,True,1521,stop,277,390,667,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,14.0,generic_cells,34.0,50.0,total_signal_toggles,1.0714285714285714,0.68,0.8757142857142857,valid,passed,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,generation and extraction completed
rfid_apbench,ap_002_command_decoder,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,3.5502276999995956,1,True,804,stop,235,245,480,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,15.0,generic_cells,20.0,20.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_002_command_decoder_default,generation and extraction completed
rfid_apbench,ap_003_register_bank_unnecessary_writes,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,3.2052457999998296,1,True,740,stop,210,224,434,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,13.0,generic_cells,23.0,23.0,total_signal_toggles,1.1538461538461537,1.0,1.0769230769230769,valid,passed,iverilog-vcd-yosys-generic,ap_003_register_bank_unnecessary_writes_default,generation and extraction completed
rfid_apbench,ap_004_crc_serial_parallel_tradeoff,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.484980000000178,1,True,572,stop,233,173,406,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,6.0,6.0,generic_cells,27.0,27.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_004_crc_serial_parallel_tradeoff_default,generation and extraction completed
rfid_apbench,ap_005_fsm_controller_idle_activity,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,6.153183399999762,1,True,1687,stop,246,435,681,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,9.0,9.0,generic_cells,29.0,29.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_005_fsm_controller_idle_activity_default,generation and extraction completed
rfid_apbench,ap_006_wakeup_edge_filter,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,6.298795100000461,1,True,1857,stop,200,444,644,2xx,parsed,completed,passed,True,True,False,True,not_required,True,False,6.0,4.0,generic_cells,14.0,,total_signal_toggles,,,,invalid,simulation_failure,iverilog-vcd-yosys-generic,ap_006_wakeup_edge_filter_default,generation and extraction completed; candidate simulation failed
rfid_apbench,ap_007_command_frame_checker,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,4.372529599999325,1,True,1176,stop,218,308,526,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,11.0,12.0,generic_cells,28.0,28.0,total_signal_toggles,0.9166666666666666,1.0,0.9583333333333333,valid,passed,iverilog-vcd-yosys-generic,ap_007_command_frame_checker_default,generation and extraction completed
rfid_apbench,ap_008_byte_lane_write_gate,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.9077064000002792,1,True,637,stop,229,203,432,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,4.0,4.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_008_byte_lane_write_gate_default,generation and extraction completed
rfid_apbench,ap_009_serial_parity_accumulator,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.8461141000007046,1,True,680,stop,215,198,413,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,9.0,9.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_009_serial_parity_accumulator_default,generation and extraction completed
rfid_apbench,ap_010_retry_timeout_fsm,1,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,12.486736199999541,1,True,3601,stop,290,887,1177,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,31.0,37.0,generic_cells,34.0,70.0,total_signal_toggles,0.8378378378378378,0.4857142857142857,0.6617760617760617,valid,passed,iverilog-vcd-yosys-generic,ap_010_retry_timeout_fsm_default,generation and extraction completed
rfid_apbench,ap_001_idle_counter,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,5.524057999999968,1,True,1521,stop,277,390,667,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,14.0,generic_cells,34.0,50.0,total_signal_toggles,1.0714285714285714,0.68,0.8757142857142857,valid,passed,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,generation and extraction completed
rfid_apbench,ap_002_command_decoder,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,3.5218457000000853,1,True,804,stop,235,245,480,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,15.0,generic_cells,20.0,20.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_002_command_decoder_default,generation and extraction completed
rfid_apbench,ap_003_register_bank_unnecessary_writes,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,3.201577200000429,1,True,740,stop,210,224,434,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,13.0,generic_cells,23.0,23.0,total_signal_toggles,1.1538461538461537,1.0,1.0769230769230769,valid,passed,iverilog-vcd-yosys-generic,ap_003_register_bank_unnecessary_writes_default,generation and extraction completed
rfid_apbench,ap_004_crc_serial_parallel_tradeoff,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.490160299999843,1,True,572,stop,233,173,406,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,6.0,6.0,generic_cells,27.0,27.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_004_crc_serial_parallel_tradeoff_default,generation and extraction completed
rfid_apbench,ap_005_fsm_controller_idle_activity,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,6.152199499999369,1,True,1687,stop,246,435,681,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,9.0,9.0,generic_cells,29.0,29.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_005_fsm_controller_idle_activity_default,generation and extraction completed
rfid_apbench,ap_006_wakeup_edge_filter,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,7.303010100000392,1,True,2132,stop,200,516,716,2xx,parsed,completed,passed,True,False,False,False,not_required,False,False,6.0,,generic_cells,14.0,,total_signal_toggles,,,,invalid,compile_failure,iverilog-vcd-yosys-generic,ap_006_wakeup_edge_filter_default,generation and extraction completed; candidate compile failed; candidate synthesis failed
rfid_apbench,ap_007_command_frame_checker,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,4.376342100000329,1,True,1176,stop,218,308,526,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,11.0,12.0,generic_cells,28.0,28.0,total_signal_toggles,0.9166666666666666,1.0,0.9583333333333333,valid,passed,iverilog-vcd-yosys-generic,ap_007_command_frame_checker_default,generation and extraction completed
rfid_apbench,ap_008_byte_lane_write_gate,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.9087976999999228,1,True,637,stop,229,203,432,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,4.0,4.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_008_byte_lane_write_gate_default,generation and extraction completed
rfid_apbench,ap_009_serial_parity_accumulator,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.842026100000112,1,True,680,stop,215,198,413,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,9.0,9.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_009_serial_parity_accumulator_default,generation and extraction completed
rfid_apbench,ap_010_retry_timeout_fsm,2,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,12.263454099999763,1,True,3534,stop,290,871,1161,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,31.0,41.0,generic_cells,34.0,70.0,total_signal_toggles,0.7560975609756098,0.4857142857142857,0.6209059233449478,valid,passed,iverilog-vcd-yosys-generic,ap_010_retry_timeout_fsm_default,generation and extraction completed
rfid_apbench,ap_001_idle_counter,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,5.5693207000003895,1,True,1521,stop,277,390,667,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,14.0,generic_cells,34.0,50.0,total_signal_toggles,1.0714285714285714,0.68,0.8757142857142857,valid,passed,iverilog-vcd-yosys-generic,ap_001_idle_counter_default,generation and extraction completed
rfid_apbench,ap_002_command_decoder,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,3.4929486999999426,1,True,804,stop,235,245,480,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,15.0,generic_cells,20.0,20.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_002_command_decoder_default,generation and extraction completed
rfid_apbench,ap_003_register_bank_unnecessary_writes,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,3.2053053999998156,1,True,740,stop,210,224,434,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,15.0,13.0,generic_cells,23.0,23.0,total_signal_toggles,1.1538461538461537,1.0,1.0769230769230769,valid,passed,iverilog-vcd-yosys-generic,ap_003_register_bank_unnecessary_writes_default,generation and extraction completed
rfid_apbench,ap_004_crc_serial_parallel_tradeoff,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.488356500000009,1,True,572,stop,233,173,406,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,6.0,6.0,generic_cells,27.0,27.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_004_crc_serial_parallel_tradeoff_default,generation and extraction completed
rfid_apbench,ap_005_fsm_controller_idle_activity,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,6.181790999999976,1,True,1687,stop,246,435,681,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,9.0,9.0,generic_cells,29.0,29.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_005_fsm_controller_idle_activity_default,generation and extraction completed
rfid_apbench,ap_006_wakeup_edge_filter,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,7.278787199999897,1,True,2168,stop,200,516,716,2xx,parsed,completed,passed,True,True,False,True,not_required,True,False,6.0,4.0,generic_cells,14.0,,total_signal_toggles,,,,invalid,simulation_failure,iverilog-vcd-yosys-generic,ap_006_wakeup_edge_filter_default,generation and extraction completed; candidate simulation failed
rfid_apbench,ap_007_command_frame_checker,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,4.379472100000385,1,True,1176,stop,218,308,526,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,11.0,12.0,generic_cells,28.0,28.0,total_signal_toggles,0.9166666666666666,1.0,0.9583333333333333,valid,passed,iverilog-vcd-yosys-generic,ap_007_command_frame_checker_default,generation and extraction completed
rfid_apbench,ap_008_byte_lane_write_gate,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.9071497000004456,1,True,637,stop,229,203,432,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,4.0,4.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_008_byte_lane_write_gate_default,generation and extraction completed
rfid_apbench,ap_009_serial_parity_accumulator,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,2.8833723999996437,1,True,680,stop,215,198,413,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,9.0,9.0,generic_cells,28.0,28.0,total_signal_toggles,1.0,1.0,1.0,valid,passed,iverilog-vcd-yosys-generic,ap_009_serial_parity_accumulator_default,generation and extraction completed
rfid_apbench,ap_010_retry_timeout_fsm,3,qwen36-27b,neutral_baseline,0.0,1.0,4096,available,success_nonempty,1,12.635539199999585,1,True,3616,stop,290,899,1189,2xx,parsed,completed,passed,True,True,True,True,not_required,True,True,31.0,37.0,generic_cells,34.0,70.0,total_signal_toggles,0.8378378378378378,0.4857142857142857,0.6617760617760617,valid,passed,iverilog-vcd-yosys-generic,ap_010_retry_timeout_fsm_default,generation and extraction completed
